Experiment,Train_H@1,Train_H@3,Train_H@10,Train_MRR,Val_H@1,Val_H@3,Val_H@10,Val_MRR,Test_H@1,Test_H@3,Test_H@10,Test_MRR
0_0_0,0.11466843062675706,0.20714771328298698,0.3403616118185326,0.18834961557242208,0.10176789278585686,0.1709153122326775,0.2774451097804391,0.15933060236878932,0.09701456073487735,0.16864555848724713,0.27621420893188703,0.15568452098200264
0_0_1,0.13204711243408118,0.23143523877772265,0.3661448284732558,0.2096346747315088,0.12743085258055317,0.2063872255489022,0.3165383518676932,0.19034413279409504,0.12379067722075637,0.20348382683475033,0.3151324147366364,0.18737137242431437
0_0_15,0.029197214413023906,0.0654980431067747,0.12909064182422872,0.06321723160467368,0.01656686626746507,0.044967208440262335,0.10079840319361277,0.04469171508601289,0.01585556532786084,0.04280269715625916,0.10014169842665885,0.04373802395181863
0_0_3,0.12677360674714735,0.21800709258953016,0.34272458335630157,0.19888093299749177,0.11362988309096093,0.18933561448531508,0.2936412888508697,0.17430569121529838,0.1113309879800645,0.19024235317111307,0.2929248509723444,0.1727823405691296
0_0_7,0.009106443966705253,0.022216709846939714,0.04252613784613123,0.02179495247441619,0.008297690333618477,0.024779013401767892,0.046706586826347304,0.022924014871136086,0.007646828886934427,0.02401544024235317,0.04649174240203264,0.022378949041103838
0_10_5,0.13519100380353893,0.23268287304999724,0.3639012917332745,0.21152321546460662,0.11981750784145993,0.19723410322212717,0.30256629597946966,0.18167627830050623,0.11966187823707612,0.19637447473859082,0.3032102022867194,0.18101929595771135
0_11_4,0.1550502544879922,0.2736361464821858,0.42666519669992464,0.24498749027538072,0.1349301397205589,0.22318220701454233,0.34225834046193326,0.20446344250874662,0.13585947424997558,0.22381022183133,0.3458418841004593,0.2057739449260291
0_12_3,0.13968910203406648,0.235224078055234,0.3627510427576576,0.21447898878857866,0.13162246934702024,0.21320216709438267,0.3216139150270887,0.19569231780187563,0.13163295221342713,0.2156014853904036,0.3216309977523698,0.1964941692069086
0_13_2,0.12440696029252338,0.21089796593352075,0.3335152417176561,0.19412590683593162,0.1138865126889079,0.1834616481323068,0.28172226974622183,0.170765135081685,0.11396951040750514,0.1835483240496433,0.2813935307339001,0.17053681962298267
0_14_1,0.17213678040534333,0.29375815372177205,0.4411021075648163,0.26224549149405024,0.1471057884231537,0.23795266609637866,0.3525520387795837,0.21642965778883766,0.14741522525163686,0.23751587999609108,0.35436822046320726,0.21670870819925175
0_15_0,0.08765962920088934,0.1625066607867997,0.269527589438289,0.14885932047080583,0.07154262902765897,0.1358426005132592,0.22731679498146565,0.12389049891150979,0.06938336753640184,0.1331965210593179,0.22053649956024626,0.1206506884978483
0_1_0,0.11054517391544016,0.19620564834720614,0.3133344358083898,0.17845093332704617,0.10399201596806387,0.17801539777587683,0.2757912745936698,0.16217340753724177,0.10370858985634711,0.17775823316720415,0.27770448548812665,0.16193072666506184
0_1_14,0.04821123422082575,0.10374657773367878,0.20385131286404645,0.09986675598549752,0.02600513259195894,0.05973766752209866,0.1369546621043627,0.06293773411126553,0.024308609400957686,0.059000293169158606,0.13754519691195152,0.06160929583072887
0_1_2,0.14390055674990354,0.24905830255590466,0.3867886739062529,0.22497940799440908,0.12691759338465924,0.21411462788708296,0.3319076133447391,0.19555166337658308,0.12337535424606665,0.21259650151470733,0.3315254568552722,0.19277511200637337
0_1_6,0.14216415853591313,0.23734634253900005,0.36657663120371903,0.21684000088860808,0.1313373253493014,0.20627316794981465,0.3059595095523239,0.19056665341145063,0.1265269227010652,0.2037037037037037,0.3051158018176488,0.1869074619857843
0_2_1,0.15655329548168972,0.26517832534038915,0.41091266560094075,0.23998741961780903,0.13741089250071287,0.22067293983461647,0.33746792130025666,0.20310055475511027,0.13720316622691292,0.22122056093032347,0.3341151177562787,0.2028605702730906
0_2_13,0.027376293111368355,0.054254634988883374,0.11067379600536538,0.056046475350126496,0.017650413458796692,0.04023381807812946,0.09215854006273168,0.04305154914917616,0.01609987296003127,0.039113651910485686,0.0941317306752663,0.0421078020370844
0_2_5,0.12087169027800745,0.19685610863054223,0.3061040368961652,0.18305111925645223,0.10801254633589963,0.17274023381807813,0.262132877102937,0.16001173533379554,0.10761751197107397,0.17245675754910583,0.2602853513143751,0.15942401725096664
0_3_0,0.13954210535986622,0.23574959116549987,0.3586976094665858,0.2130199054932284,0.11936127744510978,0.19726261762189906,0.29894496720844027,0.1799016469611917,0.11931984755203752,0.19559269031564547,0.3005472490960618,0.1797251744876537
0_3_12,0.15657534498281978,0.2669312606802271,0.4061720228579828,0.24033744159468332,0.14816082121471344,0.23992015968063873,0.3515825491873396,0.21734993796758909,0.14450796442880876,0.23443760383074366,0.34718557607739664,0.2131071559620352
0_3_4,0.006311669698473072,0.014993660768425114,0.026321591973981588,0.014694678030839325,0.00921015112631879,0.023096663815226688,0.03364699173082407,0.02025810308054566,0.00908824391673996,0.021938825368904524,0.03224860744649663,0.01964560074972005
0_4_11,0.02378589934402734,0.04609448211234221,0.09081822023776712,0.047056974845764106,0.014656401482748788,0.034587966923296264,0.07778728257770173,0.035815049856267336,0.014023258086582625,0.03369002247630216,0.07561321215674778,0.03503477794491123
0_4_3,0.10177130992411297,0.1788655531668596,0.29358910754644174,0.1658333047197003,0.09338465925292272,0.15822640433418877,0.2555460507556316,0.14783486116425237,0.09205511580181765,0.15616143848333822,0.2569627675168572,0.14655232902746892
0_5_10,0.051121768369990626,0.09551292652003748,0.17302978520110981,0.09296030479724075,0.036583974907328204,0.07621899059024807,0.14610778443113773,0.07384152612254305,0.03493599140037135,0.07202188996384247,0.1431154109254373,0.07145532505456359
0_5_2,0.1818403983609871,0.30248056887712915,0.44934862098745015,0.27128741873035683,0.15580268035357855,0.2446535500427716,0.36107784431137724,0.22483492047015152,0.1555262386396951,0.24377015537965405,0.3603048959249487,0.22417102207624037
0_6_1,0.0838138287121254,0.15192657516123698,0.2635117505466439,0.1429659982276069,0.07539207299686342,0.13364699173082406,0.22728828058169376,0.12579284351431072,0.07189973614775726,0.13072901397439657,0.22737711326101828,0.12278367533430232
0_6_9,0.12071183139481469,0.21849218161439096,0.3502085515315216,0.1971597773004234,0.10379241516966067,0.17792985457656116,0.2846022241231822,0.16402359696306443,0.10082575979673605,0.1780758330890257,0.2848382683475032,0.16238879845954837
0_7_0,0.14827370780736085,0.24228543079212833,0.36754313433658564,0.22163043768871626,0.1401482748788138,0.21827773025377817,0.3174222982606216,0.20038390958766802,0.13647024333040164,0.21416007036059806,0.316060783738884,0.1970862210772908
0_7_8,0.022157911177259616,0.04401815408926373,0.08562372526321592,0.045024667459164475,0.009409751924721984,0.03051040775591674,0.07077274023381808,0.03141810301324673,0.00994332062933646,0.029439069676536696,0.06989641356395974,0.031284309498841464
0_8_7,0.030575308233651212,0.06099994487624717,0.1131947889678996,0.059558111754050465,0.017964071856287425,0.04231536926147705,0.09232962646136299,0.04309604209801154,0.017736734095573147,0.041972051206879704,0.0906625622984462,0.0425952164457843
0_9_6,0.031345203314775,0.06278227955092516,0.1317659812946732,0.06520766580471586,0.015625891074992872,0.041402908468776735,0.10108354719133163,0.04430051552959769,0.015269227010651813,0.039968728623082185,0.0984071142382488,0.0431221788972991
10_0_5,0.04526762581996582,0.10241993274902156,0.2033349870459181,0.09834616552201082,0.018562874251497007,0.05086968919304249,0.12398061020815512,0.05425350687344894,0.017199257304798203,0.04751783445714844,0.12276458516564058,0.05231629808148807
10_1_4,0.1397736251217316,0.2395365929845837,0.37537254469617626,0.21788565040336672,0.12315369261477047,0.1998289136013687,0.3074707727402338,0.1846082463880002,0.12220267761164859,0.19820678197986905,0.3080474934036939,0.18391982124330422
10_2_3,0.09637101960568142,0.16374327030850927,0.26324348161622846,0.15254385749602642,0.08617051611063588,0.14944396920444825,0.23766752209865982,0.1371137572024005,0.08628945568259552,0.14695104075051305,0.2339489885664028,0.1358944748193837
10_3_2,0.0216121860242912,0.0414346875401944,0.0776675302721276,0.04198423697072186,0.013145138294838894,0.032278300541773594,0.06672369546621043,0.03272655955491023,0.012410827714257793,0.03083162317990814,0.06642724518713965,0.031749128979660333
10_4_1,0.09989893978648733,0.18224831413189277,0.3048968267092957,0.16787931375902715,0.08029654975762761,0.14043341887653266,0.23521528371827774,0.1318421772650369,0.07832502687383953,0.13913319652105932,0.23475520375256523,0.13042398295373425
10_5_0,0.1448909468423277,0.25387428109439025,0.39089906840857724,0.22783088184497194,0.12443684060450527,0.21511263187909893,0.32671799258625606,0.1931990435600445,0.12379067722075637,0.21440437799276849,0.3238053356786866,0.1921042356416792
11_0_4,0.034301673924627456,0.07287176377634456,0.14998254414493872,0.07371975206445087,0.017564870259481037,0.04516680923866553,0.10940975192472198,0.04855461398479316,0.017639011042704975,0.04649174240203264,0.11045148050425095,0.049090576869980654
11_1_3,0.12206236333902945,0.20076070778898628,0.3127831982801389,0.18647082906145715,0.11844881665240947,0.19252922725976618,0.2950099800399202,0.1775545525390743,0.117878432522232,0.19136616827909703,0.29121469754715135,0.17630106099395101
11_2_2,0.15241166418609778,0.24783271778476013,0.37711629274387665,0.22735100203171357,0.13892215568862276,0.21622469347020246,0.32298260621613917,0.20047063056684294,0.13649467409361868,0.2142333626502492,0.31977425974787455,0.19793082341270965
11_3_1,0.06824688091431931,0.13947779431490362,0.2496077026257281,0.12848416738688243,0.05956658112346735,0.12335329341317365,0.2168805246649558,0.112361434590687,0.05799863187725984,0.12134760089905208,0.21670086973517053,0.11100142967398885
11_4_0,0.11724270988368889,0.19210444113701927,0.29998346287415245,0.17886087834591777,0.11907613344739093,0.19067579127459366,0.2879669232962646,0.17566067726499945,0.11712107886250367,0.18691976937359522,0.2856689142968826,0.1733907209565674
12_0_3,0.03154181136651783,0.06604744317659814,0.1383826690921118,0.06807966561200908,0.01893356144853151,0.045480467636156256,0.10738522954091817,0.04931875778010031,0.017981041727743573,0.043706635395289746,0.10434378969999022,0.04758191407231447
12_1_2,0.12373445050805726,0.20135788177792477,0.31297796887345425,0.1878399105927036,0.12187054462503565,0.18845166809238664,0.2842030225263758,0.17678405294470606,0.1191976937359523,0.18674875403107594,0.2811492231017297,0.1742060070773796
12_2_1,0.1525347739007405,0.26534553405729194,0.40805358028774597,0.23782463890180572,0.13290561733675507,0.22013116623895068,0.33199315654405476,0.20062298044867122,0.13449135150982117,0.2209029610085019,0.3362161633929444,0.20206050424060046
12_3_0,0.16039542105359866,0.26285394042959775,0.39624607243261123,0.23947814567416276,0.15320786997433705,0.23627031650983746,0.3484174508126604,0.21868729836772585,0.1502247630215968,0.23294732727450407,0.34325222319945276,0.21532766243861134
13_0_2,0.16027047388052845,0.26099075758410967,0.39160832736159346,0.2379907830817543,0.14759053321927573,0.23176504134587966,0.34305674365554606,0.21299751956550064,0.1474396560148539,0.22884295905404084,0.33909899345255545,0.2115814348655902
13_1_1,0.048312294434338425,0.11200779082373262,0.21527662936626057,0.10437940630981453,0.03307670373538637,0.08246364414029085,0.16467065868263472,0.07734669194056477,0.031515684549985344,0.08211179517248118,0.1661047591126747,0.07668864452483813
13_2_0,0.03955129265200375,0.07721735295738934,0.13990224721165684,0.0738640919150313,0.026147704590818364,0.06370116909039064,0.12994011976047903,0.06060754521693002,0.02670282419622789,0.06410632268152057,0.12940975276067623,0.060910857425441084
14_0_1,0.1309905738382669,0.21889825992686915,0.33952924315087374,0.201105265196163,0.12660393498716851,0.21169090390647277,0.319047619047619,0.19170816351315678,0.1259650151470732,0.20758819505521353,0.3163783836607056,0.18995260179717377
14_1_0,0.05726071697627841,0.1010730757216618,0.18391856384249305,0.09991567369334348,0.0549757627601939,0.10022811519817508,0.17641859138865126,0.0960171428463441,0.05399198670966481,0.09928662171406234,0.1767077103488713,0.09559530423435961
15_0_0,0.10046303952373077,0.15964757547360492,0.25328996931444425,0.15222251702605652,0.10242372398061021,0.15762760193897918,0.2502708867978329,0.15104194619081857,0.10121665200820873,0.1584823609889573,0.2470927391771719,0.14979996480006827
1_0_0,0.1428697425720743,0.25107031953402054,0.38965143413630265,0.22508064102613914,0.12038779583689763,0.20399201596806388,0.3179925862560593,0.18638399029608999,0.11914883220951823,0.20385028828300597,0.32189973614775724,0.1861773741723175
1_0_14,0.07477353324881024,0.12846774341730519,0.21195634198776253,0.12204788237368776,0.06757912745936698,0.11941830624465355,0.19572284003421728,0.1116654944000342,0.06740447571582137,0.12156747776800547,0.19889084334994625,0.1122884960262554
1_0_2,0.14448303107142202,0.24468698895687485,0.37500321555224814,0.22159599488633525,0.1319076133447391,0.2151981750784146,0.32808668377530653,0.19735112688875633,0.12962962962962962,0.21120394801133588,0.3224372129385322,0.1939097309282115
1_0_6,0.17312900795619499,0.28934090366205467,0.4360748213071679,0.26072213768718483,0.15266609637867123,0.238865126889079,0.3546621043627032,0.22037178784732084,0.15156845499853416,0.2360988957295026,0.35121665200820873,0.21864400811503423
1_10_4,0.10214247652646859,0.18265439244437096,0.29596861621005827,0.16762571124312842,0.08329056173367551,0.14941545480467636,0.24322783005417736,0.13738931784918793,0.08340662562298447,0.1478305482263266,0.2439656014853904,0.1370497196731011
1_11_3,0.12701615125957774,0.21620638333057715,0.34074931554673576,0.19853618228738346,0.12033076703735386,0.1926717992586256,0.29301397205588825,0.1785302884848462,0.11734095573145704,0.18994918401250854,0.29189875891722855,0.1761041023604523
1_12_2,0.1322382081105415,0.23687595318155927,0.3710747294342466,0.21235576799682696,0.10744225834046194,0.18363273453093812,0.28588537211291704,0.16805363300341394,0.10590735854588097,0.1832551548910388,0.2837388840027362,0.1665938090500905
1_13_1,0.024353673998125793,0.048677948661411535,0.10327802583466549,0.05213118911505705,0.01348731109210151,0.03324779013401768,0.08403193612774451,0.03778957039098477,0.012581843056777094,0.03327469950161243,0.08394410241375941,0.037187892849117034
1_14_0,0.0936681182588244,0.17598441835253478,0.2863752457600647,0.15871333108353938,0.07735956658112347,0.1473053892215569,0.23504419731964643,0.13170854699200885,0.0775676732141112,0.14550962572070752,0.23556141893872765,0.13142986352766986
1_1_1,0.15274975653675835,0.2600407915770906,0.39400437315105746,0.23344181195665437,0.1377245508982036,0.2198745366410037,0.3271457085828343,0.20183381445712847,0.133831720902961,0.21503957783641162,0.323463304993648,0.197677582537831
1_1_13,0.06459952593572571,0.11945317237197509,0.21108722415155357,0.11338123635768023,0.05594525235243798,0.10467636156258911,0.18568577131451383,0.09890230052798756,0.053894263656796636,0.10453923580572658,0.18452555457832504,0.09738850832719945
1_1_5,0.1718832111423479,0.28331771493669955,0.4228671701302758,0.25580174561177,0.1598517251211862,0.24833190761334473,0.36307385229540917,0.22821893852666417,0.1584823609889573,0.24804553894263656,0.363309879800645,0.22733230088453402
1_2_0,0.16683755030042446,0.29227899968763205,0.4472704555059442,0.25977540593112386,0.13239235814086114,0.21981750784145992,0.34003421727972627,0.2014199232812163,0.12894556825955242,0.21567477768005472,0.33636274797224663,0.19776977532714926
