Experiment,Train_H@1,Train_H@3,Train_H@10,Train_MRR,Val_H@1,Val_H@3,Val_H@10,Val_MRR,Test_H@1,Test_H@3,Test_H@10,Test_MRR
0_0_0,0.5583932901379338,0.6926700321977979,0.8166216162499503,0.6459818122603996,0.13260696252989637,0.21977145894233324,0.3347063513154398,0.1994121001045758,0.1203950880939669,0.2042178323545115,0.3124666310731447,0.18375207334245816
0_0_1,0.5909488412767818,0.7323408991533171,0.8506777437691299,0.678695635146183,0.14775445123571618,0.2412968376295509,0.36287536539994686,0.21878782194407284,0.14895888948211425,0.23772023491724506,0.34810464495461824,0.21526279516956773
0_0_15,0.35899550820845094,0.5074631315339667,0.6599157292204952,0.46117823128611746,0.14615997874036674,0.23292585702896626,0.3410842412968376,0.2123829744418482,0.14375333689268552,0.2275760811532301,0.3390282968499733,0.20818723497481834
0_0_3,0.6307588345192193,0.778580514369758,0.8722224430575983,0.7187656555413144,0.17751793781557268,0.2698644698378953,0.3846664895030561,0.24640645735312072,0.16484249866524292,0.25961025093432993,0.36839295248264814,0.23312397792996217
0_0_7,0.34803434431768493,0.4981217951266049,0.6517569662519378,0.450740132539678,0.11759234653202233,0.19612011692798298,0.3056072282753122,0.17899469872605595,0.11358782701548319,0.18486385477843031,0.2860384410037373,0.17012751076927532
0_10_5,0.3978316174424613,0.5415093214612235,0.6854454028699766,0.49449215212707387,0.12795641775179378,0.20409247940473027,0.30547435556736646,0.18719490964313842,0.12106246663107315,0.19434063000533902,0.296583021890016,0.17931614657430825
0_11_4,0.4540485749493183,0.6176610883650674,0.7615077314465158,0.5590226177324136,0.16237044910975285,0.2555142173797502,0.3646027106032421,0.23007470756251075,0.1569674319273892,0.24906567004805125,0.35304324612920446,0.22288952574992937
0_12_3,0.48665381404777996,0.6594983503597408,0.7932086496800096,0.5940308823575501,0.17260164762157854,0.2820887589689078,0.41987775710868985,0.25320873742566574,0.16484249866524292,0.27042178323545113,0.39709022957821677,0.24186860582343037
0_13_2,0.454277139563541,0.6124041022379457,0.7612990420161386,0.5576196126362861,0.1837629550890247,0.2840818495880946,0.4061918681902737,0.2571384599506427,0.17258408969567537,0.27536038441003735,0.3901494927923118,0.24586504795943648
0_14_1,0.03782247485789243,0.08634773621656,0.1269030488532019,0.07081029542869696,0.0385330853042785,0.08703162370449109,0.1288865267074143,0.07127615500754036,0.038307528029898556,0.08822744260544581,0.12546716497597438,0.0711655198304314
0_15_0,0.5039750367690902,0.6851572127042175,0.8294609850141114,0.6175333993928491,0.17472761094871114,0.29165559394100454,0.42080786606431037,0.25621059045078304,0.1715162840363054,0.2793646556326749,0.40082754938601173,0.24761724091436796
0_1_0,0.5392534880947649,0.6732817903565608,0.7899193067535875,0.6264518025169226,0.14775445123571618,0.2346532022322615,0.33935689609354236,0.2121912571367616,0.1390816871329418,0.22877736252002134,0.3352909770421783,0.2048895804585989
