Experiment,Train_H@1,Train_H@3,Train_H@10,Train_MRR,Val_H@1,Val_H@3,Val_H@10,Val_MRR,Test_H@1,Test_H@3,Test_H@10,Test_MRR
0_0_0,0.5354119882535844,0.6519663730062762,0.737484885126965,0.608081130742968,0.19429795649307843,0.255273566249176,0.3098220171390903,0.23565291142450867,0.19862795149968093,0.25670070197830247,0.3112635609444799,0.23831292335203635
0_0_1,0.6059710946047101,0.7100996142108597,0.7820464098577763,0.6697301325883066,0.228246539222149,0.2860909690177983,0.33882663150955833,0.2672915148393974,0.2244735162731334,0.2894065092533504,0.337747287811104,0.2654966992830878
0_0_15,0.0030920711694593195,0.005579547417515978,0.010773305694708355,0.006238485387694696,0.0021423862887277522,0.004449571522742254,0.00906394199077126,0.004955098020377574,0.003669432035737077,0.00622208040842374,0.009412890874282067,0.006161945710919021
0_0_3,0.6300166983359244,0.7633557897161283,0.8499510566016008,0.7094698477394568,0.2470336189848385,0.3150955833882663,0.36535926170072514,0.29092749672993046,0.24952137843012126,0.3126994256541161,0.3642310146777281,0.29090251019082164
0_0_7,0.5257902919329763,0.6919272182875569,0.8072033166349974,0.6260067483505515,0.20484508899143045,0.28328938694792355,0.34311140408701385,0.2553882776065045,0.2062858966177409,0.28669432035737075,0.3450861518825782,0.25694717940476636
0_10_5,0.5102378073357517,0.7125986065526574,0.8351586341912823,0.627995810855001,0.19957152274225445,0.28295978905735003,0.3462425840474621,0.25255510646379997,0.19495851946394385,0.27983407785577535,0.3503509891512444,0.24984534011636494
0_11_4,0.39802498992341795,0.5422813381700927,0.6729717279898658,0.4924628650292166,0.13200395517468688,0.21110744891232697,0.285596572181938,0.1859343189752028,0.13305679642629228,0.20883854499042756,0.28924696873005745,0.1866750771449701
0_12_3,0.20370242413773249,0.34558645707376057,0.4995508723441009,0.3032232109817722,0.046473302570863545,0.1031641397495056,0.17617007251153594,0.09030856352571288,0.04834077855775367,0.10082961072112316,0.18028079132099553,0.09178801465814955
0_13_2,0.4848851269649335,0.6932746012552542,0.8214084182645247,0.606224652051044,0.16875411997363216,0.2602175346077785,0.34442979564930787,0.2292947644130786,0.17182514358647097,0.2656349712827058,0.3455647734524569,0.23306032078147454
0_14_1,0.4310013243507802,0.6368687741118213,0.7741636436920597,0.5534869568528396,0.1385959129861569,0.23137771918259722,0.3048780487804878,0.1974583079472075,0.14326738991703894,0.23308870453095087,0.31110402042118696,0.2017239114483806
0_15_0,0.3818160879829562,0.5794955950941441,0.7086831346807163,0.4999827681480893,0.10794330916282135,0.19166117336849045,0.26549110085695454,0.16398640948285786,0.10944479897894065,0.1963943841735801,0.27696234843650286,0.16805781216880514
0_1_0,0.71871365232913,0.7976392007830944,0.8535383198019232,0.7674415189838278,0.24851680949241925,0.30372445616348054,0.3647000659195781,0.28763481512089956,0.24553286534779833,0.3021697511167837,0.3567326100829611,0.28483040033189927
0_1_14,0.28365866298151665,0.45160937410030516,0.592353313755974,0.39139449482936256,0.05718523401450231,0.11750164798945287,0.18490441661173368,0.10096059034896475,0.06158264199106573,0.12316528398213146,0.1943203573707722,0.10657488283864801
0_1_2,0.6347613289572177,0.7528300800368515,0.8269591754476882,0.7053276356201175,0.24126565589980223,0.2996044825313118,0.3455833882663151,0.27888494211939086,0.24585194639438418,0.2970644543714103,0.3439693682195278,0.28071004642357533
0_1_6,0.6081764265561121,0.7732423561927794,0.8763689756434617,0.7047990323912662,0.252636783124588,0.3269611074489123,0.37475280158206986,0.2984036152998829,0.24984045947670708,0.32275047862156986,0.3813018506700702,0.2961822694183786
0_2_1,0.6712731041630678,0.7811884608740716,0.8536707548799447,0.7374438692824274,0.24653922214897825,0.31163480553724454,0.36750164798945284,0.28980994529834964,0.2522335673261008,0.31748564135290364,0.3725271218889598,0.29548529853721295
0_2_13,0.15295099902113204,0.2684804514308746,0.41412448897334025,0.2396384147330388,0.030652603823335532,0.06806196440342782,0.12755438365194463,0.0635075950236222,0.02791959157626037,0.06349712827058072,0.11949585194639438,0.05927438046475698
0_2_5,0.5578510969079288,0.7328093510681177,0.8465941152760984,0.6616534885318766,0.2122610415293342,0.287574159525379,0.35266974291364533,0.2620522053680412,0.21569878749202298,0.29610721123165284,0.35545628589661776,0.2664333621011387
0_3_0,0.013260781942765015,0.021903610295387805,0.03787643231415904,0.022878562584141796,0.001977587343441002,0.004779169413315755,0.009393539881344759,0.005697255414961333,0.0025526483726866626,0.004626675175494576,0.010529674537332482,0.006122585503677118
0_3_12,0.4413830828582945,0.658714803938504,0.7984453273449645,0.5693415234346682,0.14403427818061965,0.2424192485168095,0.32284113381674356,0.2069543601751478,0.148851308232291,0.2506381620931717,0.33264199106573067,0.21363757381787501
0_3_4,0.5683019519778891,0.7380261415327921,0.8532331433177867,0.6693944538105884,0.22692814765985497,0.3068556361239288,0.3617336849044166,0.2767742984520505,0.22255902999361837,0.29913848117421826,0.36231652839821316,0.27222556325875835
0_4_11,0.2082858294466517,0.3468647434790119,0.48922093625842117,0.30381415785817173,0.04054054054054054,0.08223467369808833,0.1395847066578774,0.07408321390837391,0.04227823867262285,0.08232291001914487,0.13752393107849395,0.07486865138507903
0_4_3,0.32370012091898426,0.4831289226694305,0.6206138077963954,0.4267527124137965,0.08058668424522084,0.1507910349373764,0.23088332234673697,0.13135085123708,0.0874282067645182,0.15619017230376517,0.23372686662412254,0.13643861912042385
0_5_10,0.3767317325963033,0.5715437323659814,0.7141187309264697,0.49621486110444263,0.08569545154911008,0.1613381674357284,0.23780487804878048,0.1378977495065115,0.0895022335673261,0.1691129546904914,0.2488832163369496,0.14377969361725648
0_5_2,0.5690792883054068,0.7370472735648068,0.8465422928542639,0.6685559524578504,0.22297297297297297,0.3002636783124588,0.3538233355306526,0.27145407877455624,0.2217613273771538,0.30296745373324824,0.35864709636247605,0.27250936625804734
0_6_1,0.6178614613922957,0.7727817124431393,0.8778372775954396,0.7099522837119255,0.24917600527356626,0.3259723137771918,0.3734344100197759,0.29608127423972247,0.25382897255903,0.32530312699425656,0.3728462029355456,0.29802968722343504
0_6_9,0.3759601543156561,0.5727529222087868,0.7185006045949214,0.4966545722183321,0.10184574818721161,0.18737640079103493,0.2628543177323665,0.15737646999715296,0.11311423101467773,0.1885768985322272,0.25909380982769625,0.1644897440328773
0_7_0,0.5407381816087983,0.7213738699833017,0.8411585190303449,0.6478998946241155,0.21951219512195122,0.3058668424522083,0.36684245220830586,0.2730796262688659,0.21825143586470963,0.297702616464582,0.3613592852584556,0.2696681595896581
0_7_8,0.362296309091956,0.577486036736339,0.739701733172108,0.49430395013482475,0.0955833882663151,0.18441001977587343,0.27834541858932105,0.15764487094998056,0.09588385449904276,0.18331206126356095,0.27281429483088704,0.1562989483506112
0_8_7,0.13222778833419704,0.21785570334542523,0.3247365693556746,0.19772601843384321,0.027686222808174028,0.055372445616348055,0.09739617666446934,0.05147716134639405,0.02440970006381621,0.053286534779834076,0.0942884492661136,0.049189174815649016
0_9_6,0.4586860137041516,0.6503022974607013,0.7753325272067715,0.5724350632409184,0.1563941990771259,0.24060646011865525,0.3078444297956493,0.21056119884401048,0.15475430759412892,0.24298021697511168,0.3075941289087428,0.21009942675099377
10_0_5,0.31716473772096504,0.4215293372488052,0.5197328266252087,0.387997469321979,0.0995385629531971,0.15870138431114042,0.21918259723137773,0.14087856291579318,0.10130823229100192,0.1557115507338864,0.2198468410976388,0.14145754135941238
10_1_4,0.32583059826106986,0.5005354983589566,0.6509932630851615,0.4378984250196901,0.0903098220171391,0.16908371786420567,0.260547132498352,0.14693035962771706,0.0923739629865986,0.16719846841097638,0.255743458838545,0.14800084981714948
10_2_3,0.41572522600333967,0.601571946795647,0.7389071227039788,0.529507861244654,0.14304548450889915,0.2218193803559657,0.2992748846407383,0.1959998736372021,0.13848117421825143,0.22000638162093172,0.2917996171027441,0.1928968538777153
10_3_2,0.5741463695514482,0.769758737836126,0.8859100593078828,0.6866295598048653,0.22659854976928148,0.3279499011206328,0.38645352669742916,0.2868120651282933,0.22415443522654754,0.3211550733886407,0.39246968730057435,0.2853167827706543
10_4_1,0.5200840674843094,0.7087867795243853,0.8220590775608914,0.6297547879691557,0.1924851680949242,0.2766974291364535,0.3403098220171391,0.2456677554192423,0.2024569240587109,0.27855775366943203,0.3393426930440332,0.25120931986870415
10_5_0,0.12254851154488397,0.2026314274198192,0.30502677491794783,0.18429388479866937,0.03081740276862228,0.05965721819380356,0.11305207646671062,0.05790648182391056,0.029674537332482452,0.06190172303765156,0.11311423101467773,0.05766591378454202
11_0_4,0.3911786721943917,0.5845396441527034,0.7251050843553867,0.5093015678694132,0.12705998681608438,0.22330257086354646,0.3117996044825313,0.19068424941674172,0.13672622846202936,0.23101467772814294,0.30871091257179323,0.19835439720593448
11_1_3,0.0014510278113663846,0.0022859446075891056,0.0038175850751425116,0.0025846653447581616,0.0008239947264337508,0.0013183915622940012,0.0026367831245880024,0.0016257595046573821,0.0004786215698787492,0.0011167836630504148,0.002074026802807913,0.0013400612460278995
11_2_2,0.037260321299015374,0.07290838947429032,0.1309898082570392,0.06969215488459705,0.006756756756756757,0.017303889255108767,0.036585365853658534,0.017918294804856547,0.006860242501595405,0.013401403956604978,0.02871729419272495,0.015521232927914774
11_3_1,0.43607416364369206,0.5974203950020153,0.7212817412333736,0.5359857129382766,0.16875411997363216,0.252636783124588,0.3180619644034278,0.22231134146935266,0.1664007657945118,0.24074664964901085,0.3056796426292278,0.21669434237130425
11_4_0,0.450895376288363,0.6465250187136523,0.779196176656878,0.5676806494013978,0.1659525379037574,0.262524719841793,0.34344100197758737,0.22806948747603478,0.16193363114231016,0.26531589023611996,0.3398213146139119,0.22611901572418144
12_0_3,0.3836932112627397,0.5729199055680313,0.7135429262394196,0.499863763055508,0.13249835201054713,0.21407382992748847,0.2999340804218853,0.18966614589509836,0.14023611997447352,0.23117421825143586,0.3103063178047224,0.19972843698952722
12_1_2,0.27414061150457764,0.434030057004664,0.599965451718777,0.38311816534718496,0.05932762030323006,0.12112722478576136,0.20385629531970995,0.1079953926168367,0.062380344607530315,0.12316528398213146,0.20883854499042756,0.1117386452019513
12_2_1,0.38700984626014856,0.6007024817182012,0.7374964012207059,0.51341496466782,0.09442979564930784,0.17913645352669744,0.26005273566249176,0.1521494353483052,0.09700063816209317,0.17884492661135928,0.2530312699425654,0.1522498182481595
12_3_0,0.4675764380722059,0.6533828525364197,0.7770023607992169,0.5785634868191081,0.13134475939353987,0.22264337508239948,0.2969676994067238,0.1907733410269241,0.12890874282067646,0.21841097638800255,0.29786215698787494,0.18835482309663723
13_0_2,0.41592099959693674,0.6399378130937986,0.7953302239880232,0.5500060611593771,0.1296967699406724,0.23500329597890574,0.3305866842452208,0.20045016192522971,0.12523931078493938,0.23787492022973836,0.33136566687938734,0.19761391464242
13_1_1,0.33982841020325905,0.5416364369205965,0.6837162434502216,0.4621639030656816,0.08602504943968359,0.17682926829268292,0.25708635464733026,0.14590835812644043,0.07721761327377154,0.17054881940012764,0.25733886407147416,0.1402329440579864
13_2_0,0.48858179305579547,0.7149651638164335,0.8455173605113145,0.6186662298120305,0.17353328938694793,0.2880685563612393,0.36255767963085034,0.24306703136762292,0.17661135928525845,0.2820676451818762,0.36215698787492023,0.24267653353771412
