Experiment,Train_H@1,Train_H@3,Train_H@10,Train_MRR,Val_H@1,Val_H@3,Val_H@10,Val_MRR,Test_H@1,Test_H@3,Test_H@10,Test_MRR
0_0_0,0.4289559925093633,0.665496254681648,0.9085908239700374,0.5821185642212775,0.35674157303370785,0.6025280898876404,0.8801498127340824,0.5201351408679573,0.34590316573556795,0.6061452513966481,0.8784916201117319,0.5144246615335318
0_0_1,0.6701193820224719,0.8704939138576779,0.9754213483146067,0.7820258433597718,0.6095505617977528,0.826310861423221,0.9611423220973783,0.7353303942060619,0.6042830540037244,0.8230912476722533,0.9664804469273743,0.7301983752602309
0_0_15,0.3956577715355805,0.6396886704119851,0.8836025280898876,0.5530579921550867,0.38249063670411987,0.6212546816479401,0.8806179775280899,0.5375414184884671,0.3328677839851024,0.5754189944134078,0.8496275605214153,0.4962010632392002
0_0_3,0.5885416666666666,0.8012055243445693,0.9496137640449438,0.7134941385882507,0.5383895131086143,0.7602996254681648,0.9335205992509363,0.6727301033891601,0.5395716945996276,0.7662942271880819,0.9418063314711359,0.6740356728917503
0_0_7,0.5042720037453183,0.7272940074906367,0.9167251872659176,0.6413969350512444,0.46114232209737827,0.6886704119850188,0.9030898876404494,0.6062432594341066,0.4483240223463687,0.6764432029795159,0.904096834264432,0.5955767550850702
0_10_5,0.43240870786516855,0.6467111423220974,0.8766970973782772,0.5748331652534756,0.3960674157303371,0.625,0.8661048689138576,0.5482222044061074,0.3729050279329609,0.6038175046554934,0.8547486033519553,0.5268678864397986
0_11_4,0.42643960674157305,0.6494616104868914,0.879564606741573,0.5725210624082487,0.39279026217228463,0.6212546816479401,0.8614232209737828,0.5444720324247654,0.37011173184357543,0.6052141527001862,0.8556797020484171,0.5249212139812084
0_12_3,0.42620552434456926,0.6534410112359551,0.8782771535580525,0.5731253400896851,0.39185393258426965,0.6217228464419475,0.8661048689138576,0.5438649573659767,0.3738361266294227,0.611731843575419,0.8584729981378026,0.5296124165801745
0_13_2,0.4324672284644195,0.6446044007490637,0.8814957865168539,0.5750203554053064,0.39185393258426965,0.62687265917603,0.8754681647940075,0.5460375577004384,0.3752327746741155,0.6042830540037244,0.8621973929236499,0.529351762008037
0_14_1,0.4406015917602996,0.6544943820224719,0.8797401685393258,0.5823158714243846,0.4035580524344569,0.6235955056179775,0.8717228464419475,0.5498546126624932,0.3812849162011173,0.6056797020484171,0.8552141527001862,0.5316805211208329
0_15_0,0.44645365168539325,0.6586493445692884,0.8742977528089888,0.5864891278139118,0.4044943820224719,0.6437265917602997,0.8693820224719101,0.5578897381700293,0.3947858472998138,0.62243947858473,0.8561452513966481,0.5435454191302941
0_1_0,0.6800678838951311,0.8747659176029963,0.9738998127340824,0.7883965281063819,0.6189138576779026,0.8309925093632958,0.9630149812734082,0.7395119545190436,0.6215083798882681,0.8296089385474861,0.9641527001862198,0.7430612003811407
0_1_14,0.38026685393258425,0.6243562734082397,0.867626404494382,0.5379732831308128,0.35580524344569286,0.6132958801498127,0.8623595505617978,0.5189356345770731,0.33054003724394787,0.5782122905027933,0.839851024208566,0.49282443676301585
0_1_2,0.6278089887640449,0.8279494382022472,0.9635416666666666,0.7439204144217679,0.5510299625468165,0.7640449438202247,0.951310861423221,0.6818055746867904,0.5675046554934823,0.7821229050279329,0.952048417132216,0.6959402798479944
0_1_6,0.526685393258427,0.7515215355805244,0.9229868913857678,0.6620180059101903,0.4943820224719101,0.7120786516853933,0.9091760299625468,0.6312731723377909,0.4716014897579143,0.7085661080074488,0.9115456238361266,0.6189321926887998
0_2_1,0.6260533707865169,0.8270131086142322,0.9606156367041199,0.7429866695585081,0.5720973782771536,0.7790262172284644,0.9470973782771536,0.6985801780905263,0.5535381750465549,0.7863128491620112,0.9436685288640596,0.6898595079135996
0_2_13,0.4101123595505618,0.641502808988764,0.8865285580524345,0.5616200753461794,0.3796816479400749,0.6296816479400749,0.8778089887640449,0.5398478775525635,0.35242085661080075,0.5772811918063314,0.8566108007448789,0.5085366939313005
0_2_5,0.4288389513108614,0.6726942883895131,0.9106975655430711,0.5837273175046095,0.40777153558052437,0.6315543071161048,0.8871722846441947,0.558527624645474,0.3808193668528864,0.6163873370577281,0.8878026070763501,0.537019049219148
0_3_0,0.6104283707865169,0.8074087078651685,0.945751404494382,0.7259343339103697,0.5552434456928839,0.7514044943820225,0.9316479400749064,0.6791775234168236,0.5540037243947858,0.7746741154562383,0.9371508379888268,0.686579665511034
0_3_12,0.41602294007490637,0.6409176029962547,0.8829588014981273,0.5658296876873247,0.3852996254681648,0.6198501872659176,0.8764044943820225,0.543429878215204,0.3552141527001862,0.5805400372439479,0.851024208566108,0.5127884520643887
0_3_4,0.4967813670411985,0.7273525280898876,0.9240402621722846,0.6382446252772888,0.4559925093632959,0.6919475655430711,0.9138576779026217,0.6060618722979147,0.4511173184357542,0.6857541899441341,0.9054934823091247,0.5982093128586744
0_4_11,0.44434691011235955,0.6611657303370787,0.8659878277153558,0.582933860642063,0.40730337078651685,0.6437265917602997,0.8684456928838952,0.5587262533524556,0.3915270018621974,0.6187150837988827,0.8337988826815642,0.537232244844286
0_4_3,0.5481624531835206,0.7657420411985019,0.9376755617977528,0.6789903388600604,0.5084269662921348,0.7298689138576779,0.9232209737827716,0.6440269434516266,0.4920856610800745,0.7220670391061452,0.9250465549348231,0.6338886834558242
0_5_10,0.4106975655430712,0.6412102059925093,0.8763459737827716,0.5610338209672279,0.3862359550561798,0.6306179775280899,0.8735955056179775,0.5432325078542029,0.35335195530726254,0.595903165735568,0.8472998137802608,0.5124439838308028
0_5_2,0.5378043071161048,0.7617626404494382,0.9261470037453183,0.6713777727057405,0.4859550561797753,0.7317415730337079,0.9199438202247191,0.6331165245968616,0.4613594040968343,0.7029795158286778,0.9078212290502793,0.6103796495654059
0_6_1,0.5318937265917603,0.743621254681648,0.9209386704119851,0.6611755637293326,0.47425093632958804,0.6985018726591761,0.9096441947565543,0.6141464844803337,0.4613594040968343,0.7034450651769087,0.9115456238361266,0.6095308142240226
0_6_9,0.4266736891385768,0.6540847378277154,0.8751170411985019,0.5739145192488523,0.3970037453183521,0.6278089887640449,0.8764044943820225,0.5501990948757526,0.36638733705772814,0.595903165735568,0.8486964618249534,0.5196197847715478
0_7_0,0.530372191011236,0.743562734082397,0.9164911048689138,0.6602862719693471,0.4737827715355805,0.7069288389513109,0.9119850187265918,0.618284557427534,0.46834264432029793,0.7034450651769087,0.9013035381750466,0.6133240493376498
0_7_8,0.4320575842696629,0.6513927902621723,0.8724250936329588,0.5756787534130935,0.3955992509363296,0.6296816479400749,0.8712546816479401,0.5507800737633411,0.3780260707635009,0.6033519553072626,0.8417132216014898,0.5295887808865263
0_8_7,0.4193000936329588,0.6368211610486891,0.8701427902621723,0.5643925288314511,0.3838951310861423,0.6264044943820225,0.8647003745318352,0.5395114758789601,0.3710428305400372,0.5972998137802608,0.8538175046554934,0.5224996133376452
0_9_6,0.42427434456928836,0.6406835205992509,0.8726591760299626,0.5687292695494607,0.3960674157303371,0.6212546816479401,0.8651685393258427,0.5464006023055077,0.36266294227188084,0.5968342644320298,0.8496275605214153,0.5201131538440477
10_0_5,0.3977645131086142,0.6099602059925093,0.8615987827715356,0.54299230852071,0.3796816479400749,0.5838014981273408,0.8515917602996255,0.5241931363720185,0.35195530726256985,0.5609869646182495,0.8379888268156425,0.5016832842570291
10_1_4,0.4328183520599251,0.6575374531835206,0.8878160112359551,0.578417300140112,0.40870786516853935,0.6348314606741573,0.8778089887640449,0.5560318864083164,0.36778398510242083,0.5949720670391061,0.8677839851024208,0.5235159577236238
10_2_3,0.3994616104868914,0.6063319288389513,0.8563904494382022,0.5432465160708865,0.36329588014981273,0.5809925093632958,0.8534644194756554,0.5154009413469569,0.3431098696461825,0.5586592178770949,0.8365921787709497,0.49567718685531614
10_3_2,0.39858380149812733,0.6148174157303371,0.8574438202247191,0.5441811955195415,0.36657303370786515,0.5856741573033708,0.8436329588014981,0.5178740849390675,0.3431098696461825,0.5651769087523277,0.8342644320297952,0.4963298122080114
10_4_1,0.38652855805243447,0.620435393258427,0.8568000936329588,0.5392961071335116,0.3618913857677903,0.5936329588014981,0.8487827715355806,0.5180405967036111,0.33752327746741156,0.5763500931098696,0.8305400372439479,0.4968111282085692
10_5_0,0.38746488764044945,0.607560861423221,0.8564489700374532,0.5362513926081897,0.3717228464419476,0.5838014981273408,0.8469101123595506,0.5204551102764401,0.3272811918063315,0.5572625698324022,0.8342644320297952,0.4866930154450846
11_0_4,0.40086610486891383,0.6218984082397003,0.8693820224719101,0.5495171140539844,0.37359550561797755,0.599250936329588,0.8618913857677902,0.5276200085983983,0.3505586592178771,0.5777467411545624,0.8417132216014898,0.5072128465120328
11_1_3,0.3955992509363296,0.6312617041198502,0.8789208801498127,0.5498738824942554,0.3782771535580524,0.62312734082397,0.8707865168539326,0.5363449089687449,0.33845437616387336,0.5526070763500931,0.8463687150837989,0.49306654346769047
11_2_2,0.4056062734082397,0.6199087078651685,0.8654026217228464,0.5500854190906388,0.3707865168539326,0.5838014981273408,0.850187265917603,0.5207716081333114,0.35335195530726254,0.5726256983240223,0.8356610800744879,0.5031875848148635
11_3_1,0.4107560861423221,0.6314957865168539,0.8630032771535581,0.5571322111850273,0.38202247191011235,0.6053370786516854,0.8558052434456929,0.533076682841516,0.3691806331471136,0.5982309124767226,0.8347299813780261,0.5216839648014597
11_4_0,0.38898642322097376,0.6094920411985019,0.860252808988764,0.537430684175613,0.36329588014981273,0.5917602996254682,0.8417602996254682,0.5190898718526596,0.3440409683426443,0.5633147113594041,0.8347299813780261,0.49772978282228103
12_0_3,0.42181647940074907,0.639747191011236,0.8803838951310862,0.5678027847676871,0.4096441947565543,0.6161048689138576,0.8778089887640449,0.5516670056257156,0.3584729981378026,0.5889199255121043,0.861266294227188,0.5154507698929061
12_1_2,0.4331109550561798,0.6439606741573034,0.8814957865168539,0.5745306452985461,0.41385767790262173,0.6306179775280899,0.8759363295880149,0.5587730525010054,0.3691806331471136,0.590782122905028,0.8621973929236499,0.5203083843679397
12_2_1,0.43223314606741575,0.6499882958801498,0.8868796816479401,0.5768599415440008,0.4204119850187266,0.6310861423220974,0.8834269662921348,0.5649267304004485,0.37011173184357543,0.5986964618249534,0.86731843575419,0.5264134540735486
