Experiment,Train_H@1,Train_H@3,Train_H@10,Train_MRR,Val_H@1,Val_H@3,Val_H@10,Val_MRR,Test_H@1,Test_H@3,Test_H@10,Test_MRR
0_0_0,0.3684156279632251,0.4992785191089367,0.6223425453845837,0.4562663363138202,0.09420955882352941,0.16470588235294117,0.2630514705882353,0.1492908796292243,0.09512330799184128,0.16641943259781197,0.2657148155015761,0.15089618561691104
0_0_1,0.5604188711916116,0.7104525402998612,0.8206329792350928,0.6527716146301893,0.14090073529411765,0.23005514705882352,0.33345588235294116,0.2058729369421263,0.1505655479325051,0.24309289820137214,0.3498980159465974,0.21709523968483185
0_0_15,0.17349897618425936,0.26048208666016187,0.3824398422361785,0.24376081116296083,0.05193014705882353,0.10027573529411765,0.17058823529411765,0.0919048170927518,0.054329686630817726,0.09707027628407194,0.1679028370109401,0.0924053694340742
0_0_3,0.26182885099014663,0.37049074443085467,0.5153984635892643,0.3446949067415248,0.08979779411764706,0.15459558823529412,0.23216911764705883,0.13779648869006758,0.09095123307991841,0.1515853884665307,0.23048396068978305,0.13797548089631084
0_0_7,0.2908323828108896,0.4194621188175959,0.5774458202207045,0.38511383615720457,0.09292279411764706,0.17270220588235294,0.26801470588235293,0.15220056862226025,0.0942888930094567,0.172445763026145,0.27109215649916557,0.15359853671963763
0_10_5,0.21260324047988785,0.31806313301359135,0.4576662498110407,0.29471406130885514,0.0666360294117647,0.12454044117647059,0.20091911764705883,0.11297992619357626,0.06768032634897089,0.12599666234007045,0.20897459669942517,0.1152658701130376
0_11_4,0.07808484615278904,0.1353429439168854,0.2074566767903033,0.12403457905469503,0.027205882352941177,0.0609375,0.11654411764705883,0.05790012464056823,0.02827739662525496,0.060541442610791765,0.11672538475801965,0.05811833364533211
0_12_3,0.2909560652493575,0.42555691453543504,0.5862891145711655,0.3888195417159078,0.08713235294117647,0.15551470588235294,0.24880514705882353,0.14074653263178127,0.09132208418320044,0.15928054885963286,0.2564435379195253,0.14575783911440324
0_13_2,0.29827394285871345,0.4300094823202825,0.5716258743661276,0.390519985457431,0.08667279411764706,0.1478860294117647,0.22931985294117646,0.1348579708128552,0.08724272204709808,0.15232709067309474,0.22983497125903948,0.13705327394612782
0_14_1,0.38530515206068683,0.5482911209751673,0.703292701361881,0.49309977223391216,0.10707720588235294,0.1844669117647059,0.28566176470588234,0.1672216659027172,0.10782495827925088,0.18468384943445207,0.28889300945670315,0.16722357970340868
